"Participant","truck_perf","dist_type","mean_placement"
"1","Random","Close",0.481
"1","Random","Far",0.598
"1","Uncertain","Close",0.464
"1","Uncertain","Far",0.63
"1","Certain","Close",0.528
"1","Certain","Far",0.652
"10","Random","Close",0.466
"10","Random","Far",0.616
"10","Uncertain","Close",0.286
"10","Uncertain","Far",0.738
"10","Certain","Close",0.195
"10","Certain","Far",0.778
"11","Random","Close",0.059
"11","Random","Far",0.11
"11","Uncertain","Close",0.027
"11","Uncertain","Far",0.056
"11","Certain","Close",0.044
"11","Certain","Far",0.255
"12","Random","Close",0.524
"12","Random","Far",0.769
"12","Uncertain","Close",0.139
"12","Uncertain","Far",0.728
"12","Certain","Close",0.111
"12","Certain","Far",0.805
"13","Random","Close",0.359
"13","Random","Far",0.706
"13","Uncertain","Close",0.202
"13","Uncertain","Far",0.532
"13","Certain","Close",0.237
"13","Certain","Far",0.573
"2","Random","Close",0.21
"2","Random","Far",0.315
"2","Uncertain","Close",0.249
"2","Uncertain","Far",0.594
"2","Certain","Close",0.251
"2","Certain","Far",0.601
"4","Random","Close",0.315
"4","Random","Far",0.506
"4","Uncertain","Close",0.25
"4","Uncertain","Far",0.604
"4","Certain","Close",0.154
"4","Certain","Far",0.579
"5","Random","Close",0.296
"5","Random","Far",0.535
"5","Uncertain","Close",0.386
"5","Uncertain","Far",0.7
"5","Certain","Close",0.185
"5","Certain","Far",0.621
"6","Random","Close",0.258
"6","Random","Far",0.479
"6","Uncertain","Close",0.302
"6","Uncertain","Far",0.628
"6","Certain","Close",0.41
"6","Certain","Far",0.662
"7","Random","Close",0.138
"7","Random","Far",0.626
"7","Uncertain","Close",0.186
"7","Uncertain","Far",0.695
"7","Certain","Close",0.265
"7","Certain","Far",0.705
"8","Random","Close",0.089
"8","Random","Far",0.519
"8","Uncertain","Close",0.12
"8","Uncertain","Far",0.593
"8","Certain","Close",0.063
"8","Certain","Far",0.727
"9","Random","Close",0.18
"9","Random","Far",0.414
"9","Uncertain","Close",0.093
"9","Uncertain","Far",0.532
"9","Certain","Close",0.038
"9","Certain","Far",0.473
